id,abstract
2257,"  Many applied settings in empirical economics involve simultaneous estimation
of a large number of parameters. In particular, applied economists are often
interested in estimating the effects of many-valued treatments (like teacher
effects or location effects), treatment effects for many groups, and prediction
models with many regressors. In these settings, machine learning methods that
combine regularized estimation and data-driven choices of regularization
parameters are useful to avoid over-fitting. In this article, we analyze the
performance of a class of machine learning estimators that includes ridge,
lasso and pretest in contexts that require simultaneous estimation of many
parameters. Our analysis aims to provide guidance to applied researchers on (i)
the choice between regularized estimators in practice and (ii) data-driven
selection of regularization parameters. To address (i), we characterize the
risk (mean squared error) of regularized estimators and derive their relative
performance as a function of simple features of the data generating process. To
address (ii), we show that data-driven choices of regularization parameters,
based on Stein's unbiased risk estimate or on cross-validation, yield
estimators with risk uniformly close to the risk attained under the optimal
(unfeasible) choice of regularization parameters. We use data from recent
examples in the empirical economics literature to illustrate the practical
applicability of our results.
"
10643,"  We introduce a new shape-constrained class of distribution functions on R,
the bi-$s^*$-concave class. In parallel to results of Dümbgen, Kolesnyk, and
Wilke (2017) for what they called the class of bi-log-concave distribution
functions, we show that every s-concave density f has a bi-$s^*$-concave
distribution function $F$ and that every bi-$s^*$-concave distribution function
satisfies $\gamma (F) \le 1/(1+s)$ where finiteness of $$ \gamma (F) \equiv
\sup_{x} F(x) (1-F(x)) \frac{| f' (x)|}{f^2 (x)}, $$ the Csörgő -
Révész constant of F, plays an important role in the theory of quantile
processes on $R$.
"
1045,"  We present the calibrated-projection MATLAB package implementing the method
to construct confidence intervals proposed by Kaido, Molinari and Stoye (2017).
This manual provides details on how to use the package for inference on
projections of partially identified parameters. It also explains how to use the
MATLAB functions we developed to compute confidence intervals on solutions of
nonlinear optimization problems with estimated constraints.
"
6149,"  We establish a new connection between value and policy based reinforcement
learning (RL) based on a relationship between softmax temporal value
consistency and policy optimality under entropy regularization. Specifically,
we show that softmax consistent action values correspond to optimal entropy
regularized policy probabilities along any action sequence, regardless of
provenance. From this observation, we develop a new RL algorithm, Path
Consistency Learning (PCL), that minimizes a notion of soft consistency error
along multi-step action sequences extracted from both on- and off-policy
traces. We examine the behavior of PCL in different scenarios and show that PCL
can be interpreted as generalizing both actor-critic and Q-learning algorithms.
We subsequently deepen the relationship by showing how a single model can be
used to represent both a policy and the corresponding softmax state values,
eliminating the need for a separate critic. The experimental evaluation
demonstrates that PCL significantly outperforms strong actor-critic and
Q-learning baselines across several benchmarks.
"
6917,"  In this paper, we derive a Bayesian model order selection rule by using the
exponentially embedded family method, termed Bayesian EEF. Unlike many other
Bayesian model selection methods, the Bayesian EEF can use vague proper priors
and improper noninformative priors to be objective in the elicitation of
parameter priors. Moreover, the penalty term of the rule is shown to be the sum
of half of the parameter dimension and the estimated mutual information between
parameter and observed data. This helps to reveal the EEF mechanism in
selecting model orders and may provide new insights into the open problems of
choosing an optimal penalty term for model order selection and choosing a good
prior from information theoretic viewpoints. The important example of linear
model order selection is given to illustrate the algorithms and arguments.
Lastly, the Bayesian EEF that uses Jeffreys prior coincides with the EEF rule
derived by frequentist strategies. This shows another interesting relationship
between the frequentist and Bayesian philosophies for model selection.
"
7712,"  We give a new bound on the number of collinear triples for two arbitrary
subsets of a finite field. This improves on existing results which rely on the
Cauchy inequality. We then us this to provide a new bound on trilinear and
quadrilinear exponential sums.
"
14847,"  We study radiative neutrino pair emission in deexcitation process of atoms
taking into account coherence effect in a macroscopic target system. In the
course of preparing the coherent initial state to enhance the rate, a spatial
phase factor is imprinted in the macroscopic target. It is shown that this
initial spatial phase changes the kinematics of the radiative neutrino pair
emission. We investigate effects of the initial spatial phase in the photon
spectrum of the process. It turns out that the initial spatial phase provides
us significant improvements in exploring neutrino physics such as the
Dirac-Majorana distinction and the cosmic neutrino background.
"
3362,"  We study the indices of the geodesic central configurations on $\H^2$. We
then show that central configurations are bounded away from the singularity
set. With Morse's inequality, we get a lower bound for the number of central
configurations on $\H^2$.
"
16928,"  The abundance of metals in galaxies is a key parameter which permits to
distinguish between different galaxy formation and evolution models. Most of
the metallicity determinations are based on optical line ratios. However, the
optical spectral range is subject to dust extinction and, for high-z objects (z
> 3), some of the lines used in optical metallicity diagnostics are shifted to
wavelengths not accessible to ground based observatories. For this reason, we
explore metallicity diagnostics using far-infrared (IR) line ratios which can
provide a suitable alternative in such situations. To investigate these far-IR
line ratios, we modeled the emission of a starburst with the photoionization
code CLOUDY. The most sensitive far-IR ratios to measure metallicities are the
[OIII]52$\mu$m and 88$\mu$m to [NIII]57$\mu$m ratios. We show that this ratio
produces robust metallicities in the presence of an AGN and is insensitive to
changes in the age of the ionizing stellar. Another metallicity sensitive ratio
is the [OIII]88$\mu$m/[NII]122$\mu$m ratio, although it depends on the
ionization parameter. We propose various mid- and far-IR line ratios to break
this dependency. Finally, we apply these far-IR diagnostics to a sample of 19
local ultraluminous IR galaxies (ULIRGs) observed with Herschel and Spitzer. We
find that the gas-phase metallicity in these local ULIRGs is in the range 0.7 <
Z_gas/Z_sun < 1.5, which corresponds to 8.5 < 12 + log (O/H) < 8.9. The
inferred metallicities agree well with previous estimates for local ULIRGs and
this confirms that they lie below the local mass-metallicity relation.
"
16261,"  Topological metrics of graphs provide a natural way to describe the prominent
features of various types of networks. Graph metrics describe the structure and
interplay of graph edges and have found applications in many scientific fields.
In this work, graph metrics are used in network estimation by developing
optimisation methods that incorporate prior knowledge of a network's topology.
The derivatives of graph metrics are used in gradient descent schemes for
weighted undirected network denoising, network completion, and network
decomposition. The successful performance of our methodology is shown in a
number of toy examples and real-world datasets. Most notably, our work
establishes a new link between graph theory, network science and optimisation.
"
16160,"  We classify certain subcategories in quotients of exact categories. In
particular, we classify the triangulated and thick subcategories of an
algebraic triangulated category, i.e. the stable category of a Frobenius
category.
"
6977,"  In this article we develop a new sequential Monte Carlo (SMC) method for
multilevel (ML) Monte Carlo estimation. In particular, the method can be used
to estimate expectations with respect to a target probability distribution over
an infinite-dimensional and non-compact space as given, for example, by a
Bayesian inverse problem with Gaussian random field prior. Under suitable
assumptions the MLSMC method has the optimal $O(\epsilon^{-2})$ bound on the
cost to obtain a mean-square error of $O(\epsilon^2)$. The algorithm is
accelerated by dimension-independent likelihood-informed (DILI) proposals
designed for Gaussian priors, leveraging a novel variation which uses empirical
sample covariance information in lieu of Hessian information, hence eliminating
the requirement for gradient evaluations. The efficiency of the algorithm is
illustrated on two examples: inversion of noisy pressure measurements in a PDE
model of Darcy flow to recover the posterior distribution of the permeability
field, and inversion of noisy measurements of the solution of an SDE to recover
the posterior path measure.
"
13197,"  The goal of the paper is to investigate the dynamics of the eigenvalues of
the Sturm-Liouville operator with summable PT-symmetric potential on the finite
interval. It turns out that the case of a complex Airy operator presents an
exactly solvable model which allows us to trace the dynamics of the movement of
the eigenvalues in all details and to find explicitly the critical parameter
values, in particular, to specify precisely the number $\varepsilon_1$ such
that for $0<\varepsilon<\varepsilon_1$ the operator has a real spectrum and is
similar to a self-adjoint operator.
"
14903,"  We propose a multi-layer approach to simulate hyperpycnal and hypopycnal
plumes in flows with free surface. The model allows to compute the vertical
profile of the horizontal and the vertical components of the velocity of the
fluid flow. The model can describe as well the vertical profile of the sediment
concentration and the velocity components of each one of the sediment species
that form the turbidity current. To do so, it takes into account the settling
velocity of the particles and their interaction with the fluid. This allows to
better describe the phenomena than a single layer approach. It is in better
agreement with the physics of the problem and gives promising results. The
numerical simulation is carried out by rewriting the multi-layer approach in a
compact formulation, which corresponds to a system with non-conservative
products, and using path-conservative numerical scheme. Numerical results are
presented in order to show the potential of the model.
"
14090,"  In this short paper we generalise a theorem due to Kani and Rosen on
decomposition of Jacobian varieties of Riemann surfaces with group action. This
generalisation extends the set of Jacobians for which it is possible to obtain
an isogeny decomposition where all the factors are Jacobians.
"
8768,"  We determine which of the modular curves $X_\Delta(N)$, that is, curves lying
between $X_0(N)$ and $X_1(N)$, are bielliptic. Somewhat surprisingly, we find
that one of these curves has exceptional automorphisms. Finally we find all
$X_\Delta(N)$ that have infinitely many quadratic points over $\mathbb{Q}$.
"
16606,"  Magnetic domain wall (DW) motion induced by a localized Gaussian temperature
profile is studied in a Permalloy nanostrip within the framework of the
stochastic Landau-Lifshitz-Bloch equation. The different contributions to
thermally induced DW motion, entropic torque and magnonic spin transfer torque,
are isolated and compared. The analysis of magnonic spin transfer torque
includes a description of thermally excited magnons in the sample. A third
driving force due to a thermally induced dipolar field is found and described.
Finally, thermally induced DW motion is studied under realistic conditions by
taking into account the edge roughness. The results give quantitative insights
into the different mechanisms responsible for domain wall motion in temperature
gradients and allow for comparison with experimental results.
"
9013,"  In two recent publications ( Int. J. Quant. Chem. 114, 1645 (2014) and Molec.
Phys. 114, 227 (2016)) it was shown that the Born -Hwang (BH) treatment of a
molecular system perturbed by an external field yields a set of decoupled
vectorial Wave Equations, just like in Electromagnetism. This finding led us to
declare on the existence of a new type of Fields, which were termed Molecular
Fields. The fact that such fields exist implies that at the vicinity of conical
intersections exist a mechanism that transforms a passing-by electric beam into
a field which differs from the original electric field. This situation is
reminiscent of what is encountered in astronomy where Black Holes formed by
massive stars may affect the nature of a near-by beam of light. Thus if the
NonAdiabatic-Coupling-Terms (NACT) with their singular points may affect the
nature of such a beam (see the above two publications) then it would be
interesting to know to what extend NACTs (and consequently also the BH
equation) will be affected by the special theory of relativity as introduced by
Dirac. Indeed while applying the Dirac approach we derived the relativistic
affected NACTs as well as the corresponding BH equation.
"
5941,"  Microorganisms, such as bacteria, are one of the first targets of
nanoparticles in the environment. In this study, we tested the effect of two
nanoparticles, ZnO and TiO2, with the salt ZnSO4 as the control, on the
Gram-positive bacterium Bacillus subtilis by 2D gel electrophoresis-based
proteomics. Despite a significant effect on viability (LD50), TiO2 NPs had no
detectable effect on the proteomic pattern, while ZnO NPs and ZnSO4
significantly modified B. subtilis metabolism. These results allowed us to
conclude that the effects of ZnO observed in this work were mainly attributable
to Zn dissolution in the culture media. Proteomic analysis highlighted twelve
modulated proteins related to central metabolism: MetE and MccB (cysteine
metabolism), OdhA, AspB, IolD, AnsB, PdhB and YtsJ (Krebs cycle) and XylA,
YqjI, Drm and Tal (pentose phosphate pathway). Biochemical assays, such as free
sulfhydryl, CoA-SH and malate dehydrogenase assays corroborated the observed
central metabolism reorientation and showed that Zn stress induced oxidative
stress, probably as a consequence of thiol chelation stress by Zn ions. The
other patterns affected by ZnO and ZnSO4 were the stringent response and the
general stress response. Nine proteins involved in or controlled by the
stringent response showed a modified expression profile in the presence of ZnO
NPs or ZnSO4: YwaC, SigH, YtxH, YtzB, TufA, RplJ, RpsB, PdhB and Mbl. An
increase in the ppGpp concentration confirmed the involvement of the stringent
response during a Zn stress. All these metabolic reorientations in response to
Zn stress were probably the result of complex regulatory mechanisms including
at least the stringent response via YwaC.
"
15548,"  In recent years, deep learning algorithms have become increasingly more
prominent for their unparalleled ability to automatically learn discriminant
features from large amounts of data. However, within the field of
electromyography-based gesture recognition, deep learning algorithms are seldom
employed as they require an unreasonable amount of effort from a single person,
to generate tens of thousands of examples.
This work's hypothesis is that general, informative features can be learned
from the large amounts of data generated by aggregating the signals of multiple
users, thus reducing the recording burden while enhancing gesture recognition.
Consequently, this paper proposes applying transfer learning on aggregated data
from multiple users, while leveraging the capacity of deep learning algorithms
to learn discriminant features from large datasets. Two datasets comprised of
19 and 17 able-bodied participants respectively (the first one is employed for
pre-training) were recorded for this work, using the Myo Armband. A third Myo
Armband dataset was taken from the NinaPro database and is comprised of 10
able-bodied participants. Three different deep learning networks employing
three different modalities as input (raw EMG, Spectrograms and Continuous
Wavelet Transform (CWT)) are tested on the second and third dataset. The
proposed transfer learning scheme is shown to systematically and significantly
enhance the performance for all three networks on the two datasets, achieving
an offline accuracy of 98.31% for 7 gestures over 17 participants for the
CWT-based ConvNet and 68.98% for 18 gestures over 10 participants for the raw
EMG-based ConvNet. Finally, a use-case study employing eight able-bodied
participants suggests that real-time feedback allows users to adapt their
muscle activation strategy which reduces the degradation in accuracy normally
experienced over time.
"
19080,"  We consider submanifolds into Riemannian manifold with metallic structures.
We obtain some new results for hypersurfaces in these spaces and we express the
fundamental theorem of submanifolds into products spaces in terms of metallic
structures. Moreover, we define new structures called complex metallic
structures. We show that these structures are linked with complex structures.
Then, we consider submanifolds into Riemannian manifold with such structures
with a focus on invariant submanifolds and hypersurfaces. We also express in
particular the fundamental theorem of submanifolds of complex space form in
terms of complex metallic structures.
"
20454,"  Recent experiments show no statistical impact of seal length on the
performance of long elastomeric seals in relatively smooth test fixtures.
Motivated by these results, we analytically and computationally investigate the
combined effects of seal length and compressibility on the maximum differential
pressure a seal can support. We present a Saint-Venant type analytic shear lag
solution for slightly compressible seals with large aspect ratios, which
compares well with nonlinear finite element simulations in regions far from the
ends of the seal. However, at the high- and low-pressure ends, where fracture
is observed experimentally, the analytic solution is in poor agreement with
detailed finite element calculations. Nevertheless, we show that the analytic
solution provides far-field stress measures that correlate, over a range of
aspect ratios and bulk moduli, the calculated energy release rates for the
growth of small cracks at the two ends of the seal. Thus a single finite
element simulation coupled with the analytic solution can be used to determine
tendencies for fracture at the two ends of the seal over a wide range of
geometry and compressibility. Finally, using a hypothetical critical energy
release rate, predictions for whether a crack on the high-pressure end will
begin to grow before or after a crack on the low-pressure end begins to grow
are made using the analytic solution and compared with finite element
simulations for finite deformation, hyperelastic seals.
"
15869,"  Machine learning algorithms are typically run on large scale, distributed
compute infrastructure that routinely face a number of unavailabilities such as
failures and temporary slowdowns. Adding redundant computations using
coding-theoretic tools called ""codes"" is an emerging technique to alleviate the
adverse effects of such unavailabilities. A code consists of an encoding
function that proactively introduces redundant computation and a decoding
function that reconstructs unavailable outputs using the available ones. Past
work focuses on using codes to provide resilience for linear computations and
specific iterative optimization algorithms. However, computations performed for
a variety of applications including inference on state-of-the-art machine
learning algorithms, such as neural networks, typically fall outside this
realm. In this paper, we propose taking a learning-based approach to designing
codes that can handle non-linear computations. We present carefully designed
neural network architectures and a training methodology for learning encoding
and decoding functions that produce approximate reconstructions of unavailable
computation results. We present extensive experimental results demonstrating
the effectiveness of the proposed approach: we show that the our learned codes
can accurately reconstruct $64 - 98\%$ of the unavailable predictions from
neural-network based image classifiers on the MNIST, Fashion-MNIST, and
CIFAR-10 datasets. To the best of our knowledge, this work proposes the first
learning-based approach for designing codes, and also presents the first
coding-theoretic solution that can provide resilience for any non-linear
(differentiable) computation. Our results show that learning can be an
effective technique for designing codes, and that learned codes are a highly
promising approach for bringing the benefits of coding to non-linear
computations.
"
20371,"  We present and implement a non-destructive detection scheme for the
transition probability readout of an optical lattice clock. The scheme relies
on a differential heterodyne measurement of the dispersive properties of
lattice-trapped atoms enhanced by a high finesse cavity. By design, this scheme
offers a 1st order rejection of the technical noise sources, an enhanced
signal-to-noise ratio, and an homogeneous atom-cavity coupling. We
theoretically show that this scheme is optimal with respect to the photon shot
noise limit. We experimentally realize this detection scheme in an operational
strontium optical lattice clock. The resolution is on the order of a few atoms
with a photon scattering rate low enough to keep the atoms trapped after
detection. This scheme opens the door to various different interrogations
protocols, which reduce the frequency instability, including atom recycling,
zero-dead time clocks with a fast repetition rate, and sub quantum projection
noise frequency stability.
"
11415,"  Chemotaxis is a ubiquitous biological phenomenon in which cells detect a
spatial gradient of chemoattractant, and then move towards the source. Here we
present a position-dependent advection-diffusion model that quantitatively
describes the statistical features of the chemotactic motion of the social
amoeba {\it Dictyostelium discoideum} in a linear gradient of cAMP (cyclic
adenosine monophosphate). We fit the model to experimental trajectories that
are recorded in a microfluidic setup with stationary cAMP gradients and extract
the diffusion and drift coefficients in the gradient direction. Our analysis
shows that for the majority of gradients, both coefficients decrease in time
and become negative as the cells crawl up the gradient. The extracted model
parameters also show that besides the expected drift in the direction of
chemoattractant gradient, we observe a nonlinear dependency of the
corresponding variance in time, which can be explained by the model.
Furthermore, the results of the model show that the non-linear term in the mean
squared displacement of the cell trajectories can dominate the linear term on
large time scales.
"
7847,"  We propose expected policy gradients (EPG), which unify stochastic policy
gradients (SPG) and deterministic policy gradients (DPG) for reinforcement
learning. Inspired by expected sarsa, EPG integrates across the action when
estimating the gradient, instead of relying only on the action in the sampled
trajectory. We establish a new general policy gradient theorem, of which the
stochastic and deterministic policy gradient theorems are special cases. We
also prove that EPG reduces the variance of the gradient estimates without
requiring deterministic policies and, for the Gaussian case, with no
computational overhead. Finally, we show that it is optimal in a certain sense
to explore with a Gaussian policy such that the covariance is proportional to
the exponential of the scaled Hessian of the critic with respect to the
actions. We present empirical results confirming that this new form of
exploration substantially outperforms DPG with the Ornstein-Uhlenbeck heuristic
in four challenging MuJoCo domains.
"
9952,"  We study the time evolution of a one-dimensional interacting fermion system
described by the Luttinger model starting from a nonequilibrium state defined
by a smooth temperature profile $T(x)$. As a specific example we consider the
case when $T(x)$ is equal to $T_L$ ($T_R$) far to the left (right). Using a
series expansion in $\epsilon = 2(T_{R} - T_{L})/(T_{L}+T_{R})$, we compute the
energy density, the heat current density, and the fermion two-point correlation
function for all times $t \geq 0$. For local (delta-function) interactions, the
first two are computed to all orders, giving simple exact expressions involving
the Schwarzian derivative of the integral of $T(x)$. For nonlocal interactions,
breaking scale invariance, we compute the nonequilibrium steady state (NESS) to
all orders and the evolution to first order in $\epsilon$. The heat current in
the NESS is universal even when conformal invariance is broken by the
interactions, and its dependence on $T_{L,R}$ agrees with numerical results for
the $XXZ$ spin chain. Moreover, our analytical formulas predict peaks at short
times in the transition region between different temperatures and show
dispersion effects that, even if nonuniversal, are qualitatively similar to
ones observed in numerical simulations for related models, such as spin chains
and interacting lattice fermions.
"
